CombinedStreet	Suburb	State	PostCode	Country
61c Leonard St	Victoria Park	WA	6100	
12 greenville st	swanbourne	WA	6010	
151/597 Kalamunda Road	High Wycombe	WA	6057	
63 Scaphella Way	Mullaloo	WA	6027	
32 Avocet Rd	Balcatta	WA	6021	
22 St Andrews Loop	Cooloongup	WA	6168	
Unit 16 / 12 Heffron Street	Rockingham	WA	6168	
13 Lynwood Ave	Lynwood	WA	6147	
342 Marimon St	Cottesloe	WA	6012	Australia
23/16 Kings Park Rd	West Perth	WA	6005	
8 West Lorne St	Floreat	WA	6014	
179 Nicholson Rd	Lynwood	WA	6147	
37 Elmore Way	High Wycombe	WA	6057	
Uwa	Crawley	WA	6009	
139 Centennial Avenue	Bertram	WA	6167	
44A Lisle St	Mount Claremont	WA	6010	
21 Vickery Loop	Clarkson	WA	6030	
4/8 Kensington Ave	Dianella	WA	6059	
16 Hartree Close	Willagee	WA	6156	
19 Holmes Rd	Maida Vale	WA	6057	
3a Winifred Street	Mosman Park	WA	6012	
6 Galvin Heights	Clarkson	WA	6030	
6 Medow Court	Cooloongup	WA	6168	
101 Cortis Way	Langford	WA	6147	
193 Spearwood Ave	Spearwood	WA	6163	
6 Hawkins St	Piccadilly	WA	6430	
22 toledo dr	hocking	WA	6065	
200 St Georges Te	Perth	WA	6000	
4/180 Hicks St	Gosnells	WA	6110	
45 Seascapes Blvd	Halls Head	WA	6210	
132 Churchill  Ave	Subiaco	WA	6008	
Po Box 3389	Bluff Point	VIC	6530	
4  Hull Street	Cape Burney	WA	6532	
303/96 Bow River Cres	Burswood	WA	6100	
2/26 Wellington Street	Mosman Park	WA	6012	
8 Salisbury St	Subiaco	WA	6008	
16 Zeewyck Court	Geraldton	WA	6530	
16/48 Salvado Road	Subiaco	WA	6014	
50 Cambridge Crescent	Cooloongup	WA	6169	
123 Filler Street	Clarmeont	WA	6010	
74 Burnham Way	Girrawheen	WA	6064	
9 Grand bank parkway	mindarie	WA	6030	
6 Deanna Crt	Cooloongup	WA	6168	
Unit 3 179 Bagot Road	Subiaco	WA	6008	
16a Strathearn Rd	Forrestfield	WA	6058	
7 Wyola lane	Wanneroo	WA	6065	
7 Hazlett Place	Waikiki	WA	6169	
14/44 Davies Road	Claremont	WA	6012	
110/597 Kalamunda Road	High Wycombe	WA	6057	
89 Shenton Road	Swanbourne	WA	6010	
3 Rebell Place	Mosman Park	WA	6012	Australia
PO Box 144	Wembley	WA	6913	
po box 380	Maylands	WA	6931	
6 South view road	Mount Lawley	WA	6050	
84A McDonald St	Osborne Park	WA	6017	
44 Minderoo Cres	Golden Bay	WA	6174	
13 Oakdale Close	Waikiki	WA	6169	
12 Ripley Place	Morley	WA	6062	
75 kiandra way	high wycombe	WA	6057	
6 Ayrton St	Dawesville	WA	6211	
2/57 Constance Street	Nollamara	WA	6061	
123	Rupert St	WA	6008	
2/17 Nicholas Cres	Hilton	WA	6163	
17 dalvik ave	merriwa	WA	6030	Australia
13 Aldington St	Maddington	WA	6109	
22a Seccond Ave	Claremont	WA	6010	
37 Backshall Place	Wanneroo	WA	6065	
56 Waratah av	Dalkieth	WA	6009	
36a Huon  Creek Road	Wodonga	VIC	3690	
Subiaco	Subiaco	WA	6008	
Unit 1/ 107 Brickett Street	Bedford	WA	6052	
69 Mataitai Lopp	Cooloongup	WA	6168	
8 Auld Court	Waikiki	WA	6169	
92 Station Sat	Martin	WA	6110	
24 Colorino Ave	Caversham	WA	6055	
19 Wisteria Way	Ferndale	WA	6148	
6 zeppelin way	tapping	WA	6065	
54 Hybanthus Road	Ferndale	WA	6148	
20 BONNARD CRES	WANNEROO	WA	6065	
21 Durant Way	High Wycombe	WA	6057	
20 Montery Crescent	Warnbro	WA	6169	
9 Radstock Circ	Ridgewood	WA	6030	
240 St George Tce	Perth	WA	6000	
37 Lime Tree Cir	Mindarie	WA	6030	
11 Poseidon Way	Parkwood	WA	6147	
307 Roberts Rd	Subiaco	WA	6008	
Unit 1 Hay Street	West Perth	WA	6005	
4/8 Baily Street	Dianella	WA	6059	
24 Ludlands St	Morley	WA	6062	
72 Lake Valley Dr	Edgewater	WA	6027	
"U16, 725 Wellington Street"	Perth	WA	6000	
82 Peters Rd	Muchea	WA	6501	
46 Broughham Cres	Orelia	WA	6167	
384 Hay St	Perth	WA	6000	
98/7 Harman Rd	Sorrento	WA	6020	
24 Brie Brie Crescent	Kalamunda	WA	6076	
73b Mallard Way	Cannington	WA	6107	
8 Ruth Court	Duncraig	WA	6023	
4 Parkway Gardens	Parmelia	WA	6168	
209/2 Wembley Court	Subiaco	WA	6008	
7 Sunningdale Circle	Cooloongup	WA	6168	
12 Doncon St	Wandina	WA	6530	
11 Lambertia Way	Ferndale	WA	6148	
4c Goldsmith Rd	Claremont	WA	6010	
16 Webb St	Cottesloe	WA	6011	
13 Elouera Way	City Beach	WA	6015	
340/45 Berkshire Road	Forrestfield	WA	6058	
1 Wallier Way	Westminster	WA	6061	
71 Hampshire St	East Vic Park	WA	6101	
29 Marmot Way	Ferndale	WA	6148	
24/918 hay st	perth	WA	6000	
46 Cyril Rd	Highwycombe	WA	6057	
111/7 Harman Road	Sorrento	WA	6020	
47 Lisle St	Mt Claremont	WA	6010	
12/71 mount st	w perth	VIC	6005	
88 smyth Rd	nedlands	WA	6009	
36 Quintilian Rd	Mnt Claremont	WA	6010	
43 Denver Ave	Madeley	WA	6065	
12 Bindaring Pde	Claremont	WA	6010	
U6/17 Kenton St	Lynwood	WA	6147	
11 Green Street	Sandstone	WA	6639	
29 Swinstone Street	Rockingham	WA	6168	
6 Bellida	Ferndale	WA	6147	
76 Bellport Pde	Mindarie	WA	6030	
8 Tapallat Turn	Merriwa	WA	6036	
34b Joseph St	West Leederville	WA	6007	
20 Lake View	Bibra Lake	WA	6163	
PO Box 73	Wyndham	WA	6740	
181/597 Kalamunda Rd	High Wycombe	WA	6057	
216 Shepperton Rd	East Vic Park	WA	6100	
6 Stubbs Terrace	Daglish	WA	6008	
849 Hay Street	Perth	VIC	6000	
508 Lennard St	Dianella	WA	6059	
Unit 15/381 Barker Rd	Subiaco	WA	6008	
87/151 Adelaide Tce	East Perth	WA	6004	
17 Millar Road	North Beath	WA	6020	
84 Gloster St	Subiaco	WA	6008	
118 Vellgrove Ave	Lynwood	WA	6147	
17 Finistere Island Retreat	Halls Head	WA	6210	
53 Lyndale Avenue	Parkwood	WA	6148	
127 Nicholson Road	Lynwood	WA	6147	
12 Tangaroa Close	Cooloongup	WA	6168	
1/143 Edward St	Osborne Park	WA	6017	
5 mill st	perth	VIC	6000	
29 Peckham Bvld	Baldivis	WA	6169	
34 Templetonia Cres	City Beach	WA	6015	
5 Nerrima Court	Cooloongup	WA	6168	
18 Leicester Cres	Canningvale	WA	6155	
48 janbais road	wanneroo	WA	6065	
25 Howard Pde	Salter Point	WA	6152	
81 Beamish Ave	Brentwood	WA	6153	
51 Water Cres	Ascott	WA	6104	
11 Keedes Crt	Parmelia	WA	6167	
26 Hood St	Subiaco	WA	6008	
5 Glasson Crt	Langford	WA	6147	
4 Carmody Rd	Waikiki	WA	6169	
44a swanston street	yokine	WA	6060	
31 Stewart Road	High Wycombe	WA	6057	
40 Wicca Street	Rivervale	WA	6103	
21 Wycombe Road	High Wycombe	WA	6057	
27 Queenscliff Road	Doubleview	WA	6018	
1 Grey St	Bayswater	WA	6053	
Unit 14/12 Hicks Street	Esperance	WA	6450	
2/25 Osborne Street	Joondanna	WA	6060	
181 Westfield Street	Maddington	WA	6109	
1/37 RAILWAY PDE	MT LAWLEY	VIC	6050	
24 Thirlmere Way	High Wycombe	WA	6057	
102 Cedric Street	Stirling	VIC	6021	
150 Westminster Street	East Victoria Park	WA	6101	
6 Maree Place	Gnangara	VIC	6077	
4 Cabernet Loop	Pearsall	WA	6065	
2 Wallsend St	Waikiki	WA	6169	
6b Coles place	Yanchep	WA	6035	
Unit 7 53 Moreton Crescent	Warnbro	WA	6169	
47b victoria st	st james	WA	6102	
No.6 Liupukang Street	Beijing		100072	
38 Van Zuizceom	Kojunup	WA	6395	
21 Coolibah Way	Forrestfield	WA	6058	
3/134 Marine Pde	Cottesloe	WA	6011	
157 Westfield St	Maddington	WA	6109	
50 Feeny Gdns	High Wycombe	WA	6057	
9a Sampson Cl	Midland	WA	6056	
13 Hera Close	Cooloongup	WA	6168	
Po Box 5080	Dalkeith	WA	6009	
53 Bugendore St	Maida Vale	WA	6057	
93 Lanchester Way	Stirling	WA	6018	
11 Pepper Place	Waggrakine	WA	6530	
350/1140 Wanneroo Rd	Ashby	WA	6065	
43 Fremantle Rd	Gosnells	WA	6110	
66 The Crescent	Maddington	WA	6109	
6 Blenny Green	Yanchep	WA	6035	
19 Kembla Circle	Madely	WA	6065	
41 Tredegar Street	Butler	WA	6036	
128 Holland St	Wembley	WA	6014	
21 View St	Peppermint Grove	WA	6011	
Unit 1/21 Berkshire Drive	Beldon	WA	6027	
206 Beechboro Road North	Bayswter	WA	6053	
3/59 Spencer Ave	Yokine	VIC	6060	
29 York Terrace	Mosman Park	WA	6012	
3 Kennedy Road	Morley	WA	6062	
3 Kenton Way	Rockingham	WA	6168	
43 Pearl Parade	Scarborough	WA	6019	
28 Mann St	Cotteslow	WA	6011	
38 oldham pass	high wycombe	WA	6057	
21 Windemere Chase	Butler	WA	6030	
36 Dewar MEWS	cLARKSON	WA	6030	
33 Allum Green	Merriwa	WA	6030	
36a Jerks Street	Rockingham	WA	6168	
1060denis St	Subiaco	WA	6008	
1934 Boyup Brook Road	Donnybrook	WA	6239	
8 Carter Lane	Subiaco	VIC	6008	
16 Glass Cres	Mahoments	WA	6530	
6 Lowan Crt	Geraldton	WA	6530	
4 Andrews Turn	Wanneroo	WA	6065	
50 Olivedale Rd	Madeley	WA	6065	
27 Warrida Way	Maddington	WA	6109	
28 Genesta Cres	Dalkeith	WA	6009	
502a/93 Thomas St	Subiaco	WA	6008	
po box 3078	Joondalup	WA	6027	
11/13 Ashford Ave	Rockingham	WA	6168	
82 Calume Street	Hillman	WA	6168	
25 Mohonia Way	Forrestfield	WA	6058	
No consent	Perth	WA	6000	
3 Parson Court	Tarcoola Beach	WA	6530	
13 Baracuda Chase	Sunset Beach	WA	6530	
U/82 131 Adelaide Tce	East Perth	WA	6004	
5 Nardoo Way	Maddington	WA	6109	
43 Simmons Loop	Parmelia	WA	6167	
4 Link Way	Cooloongup	WA	6168	
8 Smith Street	Mosman Park	WA	6012	
280A Bagot Road	Subiaco	WA	6008	
5 Parra Grove	Maddington	WA	6109	
34 Lynda Crescent	Cooloongup	WA	6168	
4a Thomason Rd	Claremont	WA	6010	
9 Golf Place	Cooloongup	WA	6168	
15 Congdon St	Cottesloe	WA	6011	
37 Link Way	Coolongup	WA	6168	
2/61 Troy Tce	Jolimont	WA	6104	
37 Prenwil Way	Langford	WA	6147	
108 Gerald st	East Cannington	WA	6107	
7 Lansdowne St	Jolimont	WA	6014	
114 keightley rd	shenton park	WA	6008	
29 Sevington Street	Maddington	WA	6109	
28 Cassino Dr	Stirling	WA	6021	
35 Longfield Rd	Maddington	WA	6109	
6 marlborough st	maylands	WA	6051	
4/11 Grampian Crt	Cooloongup	WA	6168	
175 Nicholson Rd	Lynwood	WA	6147	
4/10 Wellington St	Mosman Park	WA	6012	
30/39 hertha rd	innaloo	WA	6018	
52 Mckenzie Way	Embleton	WA	6062	
13/51 Shakespeare Ave	Yokine	WA	6060	
154 Maida Vale Road	Maida Vale	WA	6057	
71 Lanchester Way	Stirling	WA	6021	
70 Shakespeare Street	Mount Hawthorn	WA	6016	
54/9 delhi st	west perth	WA	6005	
65 Bayview Terrace	Claremont	WA	6010	
4 PARK LANE	CLAREMONT	WA	6010	
5 Windale Plce	Cooloongup	WA	6169	
23 Pineroo Terrace	Ellenbrook	WA	6069	
24/6 Gibbon Street	Mosman Park	WA	6012	
1 Tonvrige Way	Morley	WA	6062	
8 Bluff Way	Mindarie	WA	6030	
1/15 Roscola Avenue	Yokine	WA	6060	
47 Short Street	Joondanna	WA	6060	
33 Grange Drive	Cooloongup	WA	6168	
10 Resevoir Road	Orange Grove	WA	6109	
35338 Brand Hwy	Geraldton	WA	6530	
191 Peelwood Parade	Halls Head	WA	6210	
335/1140 Wanneroo Rd	Ashby	WA	6065	
59 Esther Loop	Wanneroo	WA	6065	
8 Kilmarnock Loop	Kinroos	WA	6028	
7a Galena  Way	Ferndale	WA	6148	
26 Martin Ave	Nedlands	WA	6009	
843 Hay St	Perth	WA	6000	
Po Box 1044	Claremont	WA	6010	
4 English Redret	Leda	WA	6168	
69 Camden St	Dianella	WA	6150	
40 Osborne Street	Joondanna	WA	6060	
41 Delage Way	Balcatta	WA	6021	
57 Goldworthy Rd	Claremont	WA	6010	
4 Johnson St	Wagin	WA	6315	
Po Box 217	Mosman Park	WA	6012	Australia
39 Hope Street	Mosman Park	WA	6012	
9 Robertson St	Perth	WA	6000	
27 Mansell St	Morley	WA	6062	
5 Glencoe Place	Lynwood	WA	6147	
25 Bridgeway Ave	Fendale	WA	6148	
151 Adelaide Tce	East Perth	WA	6004	
13 Hotchin St	Dalkeith	WA	6009	
14/984 Albany Hwy	East Victoria Park	WA	6101	
5 collin st	west perth	WA	6005	
2 Mustang Crt	High Wycombe	WA	6057	
2 Ellamere Retreat	Maddington	WA	6109	
26/186 Hale Rd	Forrestfield	WA	6058	
30 Coachwood Way	Maddington	WA	6109	
7 Lowden Court	Parkwood	WA	6147	
3 Yule St	city beach	WA	6015	
4 Carmody Road	Waikiki	WA	6168	
4 Lorrikeet Loop	High Wycombe	WA	6057	
Andros Circuit	Mindarie	WA	6030	
15 Glencoe Loop	Kinross	WA	6028	
4 Mcewan Crest	Mosman Park	WA	6012	
990 SPINIFEX WAY	CANNINGVALE	WA	6155	
14 Bellini Avenue	Ellenbrook	WA	6069	
2/183 Roberts Road	Subiaco	WA	6008	
9 Nyanda Pl	South Hedland	WA	6722	
38a Servetus Street	Swanbourne	WA	6010	
11 Anaconda Place	Sorrento	WA	6020	
80 Prickhard Street	Manjemup	WA	6258	
8 Saga Court	Cooloongup	WA	6168	
2/51 Mount St	West Perth	WA	6005	
66 First Ave	Claremont	VIC	6010	
36 Portree Way	Duncraig	WA	6023	
40 Oakapple Dr	Duncraig	WA	6020	
6 Hyland Street	Bassendean	WA	6054	
10 Winfield St	Lynwood	WA	6147	
1 Ballina Cl	Merriwa	WA	6030	
14 Cherruck Cl	Maddington	WA	6109	
24 Teak Way	Maddington	WA	6109	
14 St Agnes Green	Southern River	WA	6110	
42 Waverley st	Shenton Park	WA	6008	
25 Unnaro Street	Hillman	WA	6168	
Po Box 860	Fremantle	WA	6959	
20 Wagoora Way	Koongamia	WA	6056	
6/52 Marri Road	Duncraig	WA	6020	
7/35-37 Carmick Way	Ferndale	WA	6148	
7/50 Blackwattle Parade	Padbury	WA	6025	
11 Skerne Rise	Padbury	WA	6025	
15 Chancery Court	Forrestfield	WA	6058	
24 Cosson Way	High Wycombe	WA	6057	
12a Springham Crt	Merriwa	WA	6030	
9 Nields St	Ferndale	WA	6148	
52 Maitaitai Loop	Cooloongup	WA	6169	
72 Anstey St	South Perth	WA	6151	
70 Lakemba Way	Waikiki	WA	6169	
18 Mataitai Loop	Cooloongup	WA	6169	
9 Camelia Crt	Ferndale	WA	6148	
6 Stirling Crescent	High Wycombe	WA	6057	
U9/39 Langley Road	Bayswater	WA	6053	
20 newburn road	high wycombe	WA	6057	
123 Dellar Rd	Maddington	WA	6109	
6 Webb Street	Rossmoyne	WA	6148	
36 Huxtable Terrace	Baldivis	WA	6171	
16 Henshaw Lane	Claremounts	WA	6010	
22 Hewlett Turn	Tapping	WA	6065	
27/148 Peninsula Rd	Maylands	WA	6051	
118/597 Kalamunda Rd	High Wycombe	WA	6057	
81 Grant Street	Cottesloe	WA	6011	
32 CARBERRY WAY	CLARKSON	WA	6030	
5 Daylesford Rd	Bassendean	WA	6054	
204 1140 wanneroo rd	ashby	WA	6065	
26 Westfield St	Maddington	WA	6109	
8 Wilgerup Place	Hillman	WA	6168	
31 Henry Street	Rockingham	WA	6168	
12 Tay Court	Cooloongup	WA	6168	
159d Edinboro Street	Joondanna	WA	6060	
"Dmc Limited, Central 1"	Subiaco	WA	6008	
44 Lockwood St	Yokine	WA	6060	
26 Montrose St	Lynwood	WA	6147	
61 Observatory Dr	Clarkson	WA	6038	
St Ives Centro 72/6 Tighe St	Jolimont	WA	6014	
4 Oakdene Dr	Madeley	WA	6065	
256 Adelaide Street	Highwycobe	WA	6057	
21 casuarina road	maida vale	WA	6057	
36 Gurian Garden	Kingsley	WA	6029	
Po Box 378	Cottesloe	WA	6911	
5 AUBRY CRT	WANNEROO	WA	6065	
88 Bayport Circuit	Mindarie	WA	6030	
57 Princess Rd	Claremont	WA	6010	
86/189 Swansea St	East Victoria Park	WA	6101	
71a Lamond St	Alfred Cove	WA	6154	
16 Hilton Pl	Duncraig	WA	6023	
3/285 Wanneroo Road	Balga	WA	6021	
52 St Barnabas Bvd	Quinns Rocks	WA	6030	
15 Ravenswood Rd	Maida Vale	WA	6057	
203/8 Moreau Pde	Eat Perth	WA	6004	
34 O'Grady Way	Girrawheen	WA	6064	
15 View Street	Subiaco	WA	6008	
21b hill side cre	maylands	VIC	6051	
11 Bibanup Crt	Hillman	WA	6168	
12 Norbury Way	Langford	WA	6147	
1 Rome Way	Dianella	WA	6059	
33 Ferndale Crescent	Ferndale	WA	6148	
6/55 Henry St	Cannington	WA	6107	
15a Albert St	Claremont	WA	6010	
4/66 Wanndarie Ave	Yokine	WA	6060	
501 Reserve Road	Gidgegannup	WA	6083	
4 Erica Street	Rangeway	VIC	6530	
41 mulwarrie ct	wanneroo	WA	6065	
5 Kookaburra Cres	High Wycombe	WA	6057	
11 Cherub Close	Maddington	WA	6109	
6 Barletta Pl	Mindarie	WA	6030	
13 Leura Street	Nedlands	WA	6009	
5 Castleton Street	Balcatta	WA	6021	
2/61 Bayview Tce	Claremont	WA	6010	
107c/93 Thomas St	Subiaco	WA	6008	
56 Pandora Drive	City Beach	WA	6015	
23 Bandalong Way	High Wycombe	WA	6057	
15 Winfield St	Lynwood	WA	6147	
32 Gannet Ct	High Wycombe	WA	6057	
20 Radbourn St	Marmion	WA	6020	
75 Crosby St	Katanning	WA	6317	
25 Hill Street	Gooseberry Hill	WA	6076	
130 Winthrop Avenue	Crawley	WA	6009	
27 Australis Circle	Wannanup	WA	6210	
3 Holbeck Way	Baldivis	WA	6171	
33 Woodhall St	Stirling	WA	6021	
23 Murray Drive	Hillarys	WA	6025	
8/50 Cotoneaster Ramble	Stirling	WA	6021	
7 Gregory Court	Two Rocks	WA	6037	
22 Maley Way	Beachlands	WA	6530	
43 bamboo cirlce	Wanneroo	WA	6065	
17a Chapman Road	St James Park	WA	6102	
1/7 Blandfield Way	Parkwood	WA	6147	
9 Marita Rd	Nedlands	VIC	6009	
1521 Malvern Rd	Glen Iris	VIC	3146	
48a Cyril Rd	High Wycombe	WA	6057	
32 ELANORA DRIVE	Cooloongup	WA	6168	
10 Yanrey Street	Golden Bay	WA	6174	
11 Coomel Close	Hillman	WA	6169	
13 Hibiscus Rd	Maddington	WA	6109	
7 Huntingdale Crt	Cooloongup	WA	6168	
Unit 49/390 Hector Street	Joondanna	WA	6060	
105/ 1 Waxford Street	Subiaco	WA	6004	
1/931 Wellington Street	West Perth	WA	6005	
71 Queensvile Ave	Lynwood	WA	6147	
Unit 9 241 Ferndale Cre	Ferndale	WA	6148	
27 Twilight Cct	Ridgewood	WA	6030	
224 Odin Drive	Stirling	WA	6021	
228 Kalamunda Rd	Maida Vale	WA	6057	
11 Iveston Road	Lynwood	WA	6147	
61 Lyndale Cres	Pakrwood	WA	6147	
6 Seacrest Street	Tarcoola Beach	WA	6530	
20-125 Alfred Road	Mt Claremont	WA	6010	
44 Willmott Drive	Cooloongup	WA	6168	
267 Heytesbury Road	Subiaco	WA	6008	
31 Brooltyn Ave	Pearsall	WA	6065	
9 winship ave	wanneroo	WA	6065	
5 Brookman Avenue	Langford	WA	6147	
3/11 Grampian Crt	Cooloongup	WA	6168	
33a Wellington Rd	Morley	WA	6062	
15 Maclarty Way	High Wycombe	WA	6057	
50/15 Jugan St	Mount Hawthorn	WA	6016	
33a bamboore crescent	wanneroo	WA	6065	
2 Regelia Court	Ferndale	WA	6148	
1/10 Fraser Street	East Fremantle	WA	6158	
43 Kathleen St	Cottesloe	WA	6011	
38 leach road	wanneroo	WA	6065	
180 Park St	Subiaco	WA	6008	
13 Crisafulli Ave	Wanneroo	WA	6065	
42 Paltara Way	Wanneroo	WA	6065	
15 Wadhurst Road	Butler	WA	6030	
20 Tuam Street	Victoria Park	WA	6100	
Site 7 Double Beach Caravan Park	Greenough	WA	6530	
121/1 Wellington St	Mosman Park	WA	6012	
19 Hybanthus Ave	High Wycombe	WA	6057	
69 Pitchford Ave	Maddington	WA	6109	
19c Manxton Way	Lynwood	WA	6147	
42 Linksman St	Yanchep	WA	6035	
34 Fenton Way	Hillarys	WA	6025	
59 Glencairn Way	Parkwood	WA	6147	
4 Sandgate Blvd	Baldivis	WA	6171	
4/19 Troy Terrace	Daglish	WA	6008	
16 Mcclure Street	Safety Bay	WA	6169	
2/3 Bellview Terrace	West Perth	WA	6005	
3/112 Homala Crt	Rivervale	WA	6103	
35 Trifund Crt	Merriwa	WA	6030	
East Perth	East Perth	WA	6004	
616 Metcalfe Road	Ferndale	WA	6148	
165 Rochdale Road	Mount Claremont	WA	6010	
32 Star St	Carlisle	WA	6101	
163a Huntress Rd	Doubleview	WA	6018	
5 Woggler	Harrisdale	WA	6112	
Unit 48 54 Mill Point rd	South Perth	WA	6151	
1 Tasker Place	North Fremantle	WA	6159	
30a Devon Way	Lynwood	WA	6147	
3/ 43 Colin Rd	Scarborough	WA	6019	
29 Fisherton Circa	Kinross	WA	6028	
62/72 Price St	Subiaco	WA	6008	
12 Tenth Ave	Maylands	WA	6051	
10 Benson Way	High Wycombe	WA	6057	
18 Kennet Street	Maddington	WA	6109	
Site 41/289 Sydney RD	Ganagara	WA	6077	
42 Wheelwright Rd	Lesmurdie	WA	6076	
7 Mcintyre Pass	Two Rocks	WA	6035	
176 Hensman Rd	Shenton Park	WA	6008	
113a North Beach Road	Osborne Park	WA	6017	
Unit 145 2 Murray Ave	Mosman Park	WA	6012	
53b The Promnade	Mt Pleasant	WA	6000	
27 Aldersea Cir	Clarkson	WA	6030	
5/14 Hefron Street	Rockingham	WA	6168	
114 Brand Hwy	Tarcoola Beach	WA	6530	
"House 46, Arcadia Waters"	Wandina	WA	6530	
24 Chivalry Way	Thornlie	WA	6108	
14 Silvergum Cl	Stirling	WA	6021	
95/34 Davies Road	Claremont	WA	6010	
11 Dolara Court	Maddington	WA	6109	
4 Kemp Place	Morley	WA	6062	
3 Burgess St	Leederville	WA	6007	
3/20 Robinson Street	Subiaco	WA	6008	
72 Secret Harbour Bvld	Secret Harbour	WA	6173	
30 Darryl Street	Hillman	WA	6168	
6 Simeon Cl	Kalamunda	WA	6076	
12 Liseron Way	Ferndale	WA	6148	
8c/292 Harbourne St	Glendalough	WA	6016	
10 Fairway Place	Cooloongup	WA	6168	
Unit 122/219 Midland Road	Hazelmere	WA	6055	
Po Box 7223	Karrawarra	WA	6152	
16 thompson drive	wanneroo	WA	6065	
130 Winthrop Avenue	Crawley	WA	6009	
8 King Mews	Cooloongup	WA	6168	
54 Coniston Way	Ferndale	WA	6148	
19 Conifer St	Maddington	WA	6109	
126 Gerard St	East Cannington	WA	6109	
Po 231	Northbridge	WA	6865	
17 Nandina Ave	Mt Claremont	Wa	6010	Australia
43a Solomom Circle	Rangeway	WA	6530	
37 Vellgrove Av	Parkwood	WA	6147	
3/85 Hodgson St	Tuart Hill	WA	6060	
107/76 ridgewood blvd	ridgewood	WA	6030	
44 Maybach Way	Dianella	WA	6059	
127 Belina St	Hillman	WA	6168	
4 Kia Ora Mews	Wandina	WA	6530	
15 Iduna Road	Geraldton	WA	6530	
125/7 Harman Road	Hillarys	WA	6020	
15 Carnegie Loop	Cooloongup	WA	6168	
49 Acton Ave	Rivervale	WA	6103	
34 Kenmure Ave	Bayswater	WA	6053	
409 The Strand	Dianella	WA	6059	
22 Lyndon St	Dianella	WA	5059	
1a Gumtree Way	Lynwood	WA	6147	
578 Morley Dve	Morley	WA	6062	
Unit37 321-331 Lord Street	Highgate	WA	6003	
139/6 Tighe St	Joli8mont	WA	6014	
208 Adelaide Tce	East Perth	WA	6004	
12 Naomi Way	Karloo	WA	6530	
14 Mimbalup Close	Hillman	WA	6168	
30 Coolgardie St	Bentley	WA	6102	
6 Jaques Place	Orelia	WA	6167	
18 Maundaree Place	Wanneroo	WA	6065	
13 Marble Place	Forrestfield	WA	6058	
55 Belgrade rd	Wanneroo	WA	6065	
45 Valerie St	Dianella	WA	6059	
32 Abingdon Cres	Wellard	WA	6167	
13 Seouf St	Maddington	WA	6109	
49 David Street	Maidavale	WA	6057	
48 Bywood Way	Lynwood	WA	6147	
Unit3 Comer Street	Como	WA	6152	Australia
7 Sheffield Aven	Wanneroo	WA	6065	
20 Ashton rise	Woodavale	WA	6026	
3/379 Stirling Highway	Claremont	WA	6010	
37 Mariners View	Mindarie	WA	6030	
Unit 324 Springfields Village Hefron Street	Rockingham	WA	6168	
8 Leisure Way	Safety Bay	WA	6168	
41 Nabberu Loop	Cooloongup	WA	6169	
Po Box 319	Gearaldton	WA	6531	
Mountjoy Rd	Nedlands	WA	6009	
5 Galway Close	Nollamara	WA	6061	
3 Symmonds Court	High Wycombe	WA	6057	
62/17 Hefron Street	Rockingham	WA	6168	
21 Wesley St	Balcatta	WA	6021	
9 Chittering Pl	Cooloongup	WA	6168	
13 Sandalwood Dr	Greenwood	WA	6024	
56 View Street	Dianella	WA	6059	
Unit 6/15 Titian Way	Tapping	WA	6065	
12 Prince Albert Coart	Mount Claremont	WA	6010	
20 Consols Road	Meekatharra	WA	6642	
61 Limetree Cir	Mindaree	WA	6030	
30 Clipson Cres	Mundaring	WA	6073	
28 Dellar Rd	Maddington	WA	6109	
72 Ringarooma Way	Willetton	WA	6155	
9 Rotohine Place	Cooloongup	WA	6168	
4/33 Anstey St	South Perth	WA	6151	
12 Broughton Hts	Kinross	WA	6028	
17 Mundi Place	Wanneroo	WA	6065	
19 Assen St	Range Way	WA	6530	
9 Selby Court	Mindarie	WA	6030	
Unit 3/8 Merope Close	Rockingham	WA	6168	
6a White Road	Quinns Rocks	WA	6030	
48 Frederick st	Wanneroo	WA	6065	
4 Brodia Place	Two Rocks	WA	6037	
32 Lynwood Ave	Lynwood	WA	6147	
8 Seaside Ave	Yanchep	WA	6035	
8/67 Chaucer Street	Yokine	WA	6060	
52 Meadowbrook Drive	Parkwood	WA	6147	
2/61 Bert St	Gosnells	WA	6110	
40b benbullen bvd	kingsley	WA	6026	
63 Milner Road	High Wycombe	WA	6057	
54/43 Wickham St	East Perth	WA	6004	
59 Loftus St	Nedlands	WA	6009	
148 Keghtley Rd	Shenton Park	WA	6008	
63/5976 Kalamunda Rd	Hjigh Wycombe	WA	6057	
18 Penshurst St	Marangaroo	WA	6064	
17 Gimlet Ct	Forrestfield	WA	6058	
72 Gascoyne Way	Cooloongup	WA	6168	
4/19 Swallow Pde	Warnbro	WA	6169	
364/1 Wellington St	Mosmon Prk	WA	6012	
14 Tees Court	Mindarie	WA	6030	
29/141 Claremont Cres	Swanbourne	WA	6010	
154 Howes Cre	Dianella	WA	6059	
28 Bellard Pl	Maddington	WA	6109	
Unit 9/26 Blosabay Drive	Waikiki	WA	6169	
25 Eakins Cr	Wandina	WA	6530	
9/19 Ridge Street	South Perth	WA	6151	
14 Keeden Court	Maddington	WA	6109	
135 Adelma Rd	Dalkeith	WA	6009	
